To,Location
inA[3],PIN_AF10
inA[2],PIN_AF9
inA[1],PIN_AC12
inA[0],PIN_AB12
inB[3],PIN_AC9
inB[2],PIN_AE11
inB[1],PIN_AD12
inB[0],PIN_AD11
Cin,PIN_AE12
Sum4[6],PIN_AE26
Sum4[5],PIN_AE27
Sum4[4],PIN_AE28 
Sum4[3],PIN_AG27
Sum4[2],PIN_AF28
Sum4[1],PIN_AG28 
Sum4[0],PIN_AH28
Cout,PIN_V16
